աբազինական,{{-hy-ած-}}
աբազիներեն,{{-hy-ած-}}
աբազիներեն,{{-hy-մակ-}}
աբայավոր,{{-hy-ած-}}
աբանոս,{{-hy-ած-}}
աբասանոց,{{-hy-ած-}}
աբավոր,{{-hy-ած-}}
աբբայական,{{-hy-ած-}}
աբեթ,{{-hy-ած-}}
աբեղահալած,{{-hy-ած-}}
աբեղայական,{{-hy-ած-}}
աբեղայակերպ,{{-hy-ած-}}
աբեղայակերպ,{{-hy-մակ-}}
աբխազական,{{-hy-ած-}}
աբխազերեն,{{-hy-ած-}}
աբխազերեն,{{-hy-մակ-}}
աբոնեմենտային,{{-hy-ած-}}
աբով,{{-hy-մակ-}}
աբսոլյուտ,{{-hy-ած-}}
աբսոլյուտիստական,{{-hy-ած-}}
աբսուրդ,{{-hy-ած-}}
աբսուրդային,{{-hy-ած-}}
աբստրակտ,{{-hy-ած-}}
աբստրակցիոն,{{-hy-ած-}}
աբրեշում,{{-hy-ած-}}
աբրեշումե,{{-hy-ած-}}
աբրեշումեղեն,{{-hy-ած-}}
ագահ,{{-hy-ած-}}
ագահ,{{-hy-մակ-}}
ագահաբար,{{-hy-մակ-}}
ագահ-ագահ,{{-hy-մակ-}}
ագահամիտ,{{-hy-ած-}}
ագահասիրտ,{{-hy-ած-}}
ագահատենչ,{{-hy-ած-}}
ագահորեն,{{-hy-մակ-}}
ագատանման,{{-hy-ած-}}
ագատափայլ,{{-hy-ած-}}
ագատե,{{-hy-ած-}}
ագատյա,{{-hy-ած-}}
ագարակաբնակ,{{-hy-ած-}}
ագենտային,{{-hy-ած-}}
ագենտուրային,{{-hy-ած-}}
ագիտ,{{-hy-ած-}}
ագիտատորական,{{-hy-ած-}}
ագիտացիոն,{{-hy-ած-}}
ագիտմասսայական,{{-hy-ած-}}
ագլոմերացիոն,{{-hy-ած-}}
ագնոստիկական,{{-hy-ած-}}
ագևոր,{{-hy-ած-}}
ագուլական,{{-hy-ած-}}
ագուլերեն,{{-hy-ած-}}
ագուլերեն,{{-hy-մակ-}}
ագուստային,{{-hy-ած-}}
ագուցիկ,{{-hy-ած-}}
ագուցովի,{{-hy-ած-}}
ագռավադեմ,{{-hy-ած-}}
ագռավաթույր,{{-hy-ած-}}
ագռավակերպ,{{-hy-ած-}}
ագռավակտուց,{{-hy-ած-}}
ագռավաձայն,{{-hy-ած-}}
ագռավային,{{-hy-ած-}}
ագռավանման,{{-hy-ած-}}
ագրարագիտական,{{-hy-ած-}}
ագրարահումքային,{{-hy-ած-}}
ագրարային,{{-hy-ած-}}
ագրեգատային,{{-hy-ած-}}
ագրեգատաշինական,{{-hy-ած-}}
ագրեսիվ,{{-hy-ած-}}
ագրեսորական,{{-hy-ած-}}
ագրիկուլտուրային,{{-hy-ած-}}
ագրոբիոլոգիական,{{-hy-ած-}}
ագրոդպրոցական,{{-hy-ած-}}
ագրոդպրոցային,{{-hy-ած-}}
ագրոկոմպլեքսային,{{-hy-ած-}}
ագրոնոմիական,{{-hy-ած-}}
ագրոտեխնիկական,{{-hy-ած-}}
ագրոքիմիական,{{-hy-ած-}}
ադամադահուռ,{{-hy-ած-}}
ադամախոս,{{-hy-ած-}}
ադամական,{{-hy-ած-}}
ադամամերկ,{{-hy-ած-}}
ադամանադանման,{{-hy-ած-}}
ադամանդաբեր,{{-hy-ած-}}
ադամանդագլուխ,{{-hy-ած-}}
ադամանդազարդ,{{-hy-ած-}}
ադամանդախույզ,{{-hy-ած-}}
ադամանդակերպ,{{-hy-ած-}}
ադամանդակուռ,{{-hy-ած-}}
ադամանդահեռ,{{-hy-ած-}}
ադամանդահուռ,{{-hy-ած-}}
ադամանդանման,{{-hy-ած-}}
ադամանդաշաղ,{{-hy-ած-}}
ադամանդաշար,{{-hy-ած-}}
ադամանդաշեն,{{-hy-ած-}}
ադամանդաշող,{{-hy-ած-}}
ադամանդավառ,{{-hy-ած-}}
ադամանդացոլ,{{-hy-ած-}}
ադամանդափայլ,{{-hy-ած-}}
ադամանդե,{{-hy-ած-}}
ադամանդեղեն,{{-hy-ած-}}
ադամանդյա,{{-hy-ած-}}
ադդի,{{-hy-մակ-}}
ադիգերեն,{{-hy-ած-}}
ադիգերեն,{{-hy-մակ-}}
ադմինիստրատիվ,{{-hy-ած-}}
ադմինիստրատորական,{{-hy-ած-}}
ադրբեջանական,{{-hy-ած-}}
ադրբեջաներեն,{{-hy-ած-}}
ադրբեջաներեն,{{-hy-մակ-}}
աերոդինամիկ,{{-hy-ած-}}
աերոդինամիկական,{{-hy-ած-}}
աերոստատիկական,{{-hy-ած-}}
ազաբ,{{-hy-ած-}}
ազազայել,{{-hy-ած-}}
ազազիլ,{{-hy-ած-}}
ազազուն,{{-hy-ած-}}
ազապ,{{-hy-ած-}}
ազատաբաղձ,{{-hy-ած-}}
ազատաբան,{{-hy-ած-}}
ազատաբար,{{-hy-մակ-}}
ազատաբարո,{{-hy-ած-}}
ազատաբեր,{{-hy-ած-}}
ազատաբերան,{{-hy-ած-}}
ազատաբնակ,{{-hy-ած-}}
ազատագութ,{{-hy-ած-}}
ազատագունդ,{{-hy-ած-}}
ազատագրական,{{-hy-ած-}}
ազատազարմ,{{-hy-ած-}}
ազատազգի,{{-hy-ած-}}
ազատազեն,{{-hy-ած-}}
ազատազուրկ,{{-hy-ած-}}
ազատախոհ,{{-hy-ած-}}
ազատախոս,{{-hy-ած-}}
ազատախումբ,{{-hy-ած-}}
ազատածարավ,{{-hy-ած-}}
ազատածին,{{-hy-ած-}}
ազատածուփ,{{-hy-ած-}}
ազատակամ,{{-hy-ած-}}
ազատակամ,{{-hy-մակ-}}
ազատական,{{-hy-ած-}}
ազատահաճ,{{-hy-ած-}}
ազատահաճ,{{-hy-մակ-}}
ազատաձայն,{{-hy-ած-}}
ազատաձայն,{{-hy-մակ-}}
ազատամարտ,{{-hy-ած-}}
ազատամիտ,{{-hy-ած-}}
ազատամոլ,{{-hy-ած-}}
ազատամտական,{{-hy-ած-}}
ազատանի,{{-hy-ած-}}
ազատանվեր,{{-hy-ած-}}
ազատաշունչ,{{-hy-ած-}}
ազատապես,{{-hy-մակ-}}
ազատասեր,{{-hy-ած-}}
ազատասիրական,{{-hy-ած-}}
ազատասլաց,{{-hy-ած-}}
ազատասպան,{{-hy-ած-}}
ազատավանդ,{{-hy-ած-}}
ազատավարձու,{{-hy-ած-}}
ազատավարք,{{-hy-ած-}}
ազատավետ,{{-hy-ած-}}
ազատատենչ,{{-hy-ած-}}
ազատատոհմ,{{-hy-ած-}}
ազատատոհմիկ,{{-hy-ած-}}
ազատարար,{{-hy-ած-}}
ազատ-արձակ,{{-hy-ած-}}
ազատարձակ,{{-hy-ած-}}
ազատարշավ,{{-hy-ած-}}
ազատիչ,{{-hy-ած-}}
ազատորեն,{{-hy-մակ-}}
ազբեստացեմենտե,{{-hy-ած-}}
ազբեստե,{{-hy-ած-}}
ազգաբանական,{{-hy-ած-}}
ազգագրական,{{-hy-ած-}}
ազգագրորեն,{{-hy-մակ-}}
ազգադավ,{{-hy-ած-}}
ազգադրուժ,{{-hy-ած-}}
ազգազոհ,{{-hy-ած-}}
ազգաթքանք,{{-hy-ած-}}
ազգաժողով,{{-hy-ած-}}
ազգախաբ,{{-hy-ած-}}
ազգախաչ,{{-hy-ած-}}
ազգախնամ,{{-hy-ած-}}
ազգախոշոշ,{{-hy-ած-}}
ազգախոսական,{{-hy-ած-}}
ազգախոսիկ,{{-hy-ած-}}
ազգախորհուրդ,{{-hy-ած-}}
ազգական,{{-hy-ած-}}
ազգականաբար,{{-hy-մակ-}}
ազգականական,{{-hy-ած-}}
ազգականորեն,{{-hy-մակ-}}
ազգակառույց,{{-hy-ած-}}
ազգակեր,{{-hy-ած-}}
ազգակից,{{-hy-ած-}}
ազգակործան,{{-hy-ած-}}
ազգակուլ,{{-hy-ած-}}
ազգակցաբար,{{-hy-մակ-}}
ազգակցական,{{-hy-ած-}}
